Date,Open,High,Low,Close,Volume
08-1-1996,6.0,7.13,5.94,6.38,26600400
09-1-1996,6.38,8.13,6.06,7.38,35120400
10-1-1996,7.31,9.19,7.06,8.88,47814000
11-1-1996,8.88,12.94,8.81,12.13,82655400
12-1-1996,12.06,14.19,11.31,12.88,69450200
01-1-1997,12.94,18.06,12.44,17.56,119009400
02-1-1997,17.56,18.44,15.69,18.0,60406400
03-1-1997,17.75,24.25,17.69,20.75,154383000
04-1-1997,20.63,22.5,17.5,21.25,134335600
05-1-1997,21.31,22.88,18.63,20.0,89132200
06-1-1997,20.81,20.81,17.0,17.94,105038600
07-1-1997,17.75,20.44,16.59,17.56,93440200
08-1-1997,17.63,21.38,17.56,18.81,92728000
09-1-1997,18.91,20.0,15.38,16.28,117991200
10-1-1997,14.75,15.81,9.81,11.5,140772200
11-1-1997,11.91,12.28,9.28,10.91,66340400
12-1-1997,11.0,11.31,8.56,8.88,63501600
01-1-1998,9.13,10.44,8.66,10.09,72734000
02-1-1998,10.16,12.69,8.97,11.75,104360600
03-1-1998,11.75,14.81,10.25,14.53,120487000
04-1-1998,14.63,15.5,12.41,13.88,125112800
05-1-1998,13.81,13.97,9.53,9.78,105799000
06-1-1998,9.91,10.13,8.19,8.53,83184200
07-1-1998,8.66,9.5,7.59,8.63,102610600
08-1-1998,8.56,10.06,6.38,6.5,101506000
09-1-1998,6.66,10.5,6.38,9.28,114273600
10-1-1998,9.16,11.41,6.81,11.28,168644800
11-1-1998,11.44,14.69,11.03,13.84,165408400
12-1-1998,13.31,16.38,13.25,14.5,136356400
01-1-1999,14.5,16.5,9.88,11.47,231621000
02-1-1999,12.47,12.72,8.25,8.94,174152000
03-1-1999,9.34,9.63,7.75,7.75,90814000
04-1-1999,7.78,8.63,7.28,8.25,58483200
05-1-1999,8.38,10.88,8.13,9.25,79407800
06-1-1999,9.28,9.75,8.25,9.03,84460200
07-1-1999,8.84,9.28,8.03,8.69,56859600
08-1-1999,8.59,10.5,7.81,10.34,74863000
09-1-1999,10.41,12.38,8.53,8.59,115243200
10-1-1999,8.56,10.22,8.19,9.91,84139400
11-1-1999,9.97,15.25,9.94,14.13,153737000
12-1-1999,14.13,15.97,13.25,14.47,118310600
01-1-2000,14.97,22.56,14.0,18.0,199690800
02-1-2000,18.25,22.75,17.5,19.75,146979800
03-1-2000,19.94,30.19,19.25,29.5,225647000
04-1-2000,29.63,44.44,25.5,43.75,288117600
05-1-2000,43.5,46.44,33.0,40.88,220641800
06-1-2000,41.44,48.5,37.47,38.63,176389000
07-1-2000,38.5,47.5,34.0,36.0,196984600
08-1-2000,36.09,38.25,27.0,37.5,250322000
09-1-2000,38.13,38.25,23.0,24.0,176186500
10-1-2000,23.94,26.0,16.19,22.63,223975700
11-1-2000,21.88,25.44,14.69,15.25,128519300
12-1-2000,15.81,18.19,13.56,13.81,125858400
01-1-2001,14.13,25.1,14.13,24.6,159683400
02-1-2001,25.3,26.75,20.51,21.5,130838700
03-1-2001,20.5,30.15,19.65,26.54,184234500
04-1-2001,26.7,32.15,18.73,31.0,229970800
05-1-2001,30.5,34.65,27.05,28.25,177020400
06-1-2001,29.0,31.79,23.56,28.9,149482200
07-1-2001,29.05,30.2,15.31,18.26,191377500
08-1-2001,18.95,19.9,13.0,13.55,138484400
09-1-2001,13.17,13.4,7.8,8.15,117454100
10-1-2001,8.3,11.39,7.69,9.84,119200700
11-1-2001,10.0,14.67,9.95,13.56,144754800
12-1-2001,13.5,18.62,13.39,15.86,141235200
01-1-2002,16.28,20.6,14.96,16.05,186799800
02-1-2002,15.86,15.98,12.63,13.5,120825500
03-1-2002,13.78,17.28,13.78,14.71,107391900
04-1-2002,14.61,15.3,10.95,11.18,133431100
05-1-2002,11.35,12.95,10.4,11.43,100840400
06-1-2002,11.4,11.41,7.95,9.72,137478900
07-1-2002,9.6,10.3,7.46,8.03,111618400
08-1-2002,8.03,10.88,7.01,8.85,110296000
09-1-2002,8.6,8.69,5.2,5.34,118764300
10-1-2002,5.42,6.45,3.1,6.14,211607900
11-1-2002,6.1,9.1,5.44,9.0,286594000
12-1-2002,9.29,9.6,6.18,6.46,200971700
01-1-2003,6.56,7.79,4.99,5.24,203923100
02-1-2003,5.24,5.67,4.78,5.49,94819000
03-1-2003,5.55,7.24,5.1,6.18,154559400
04-1-2003,6.2,8.59,6.0,7.44,219445600
05-1-2003,7.41,7.88,6.8,7.28,139247600
06-1-2003,7.2,7.39,5.8,6.41,206623100
07-1-2003,6.32,7.52,6.25,7.3,144233300
08-1-2003,7.27,11.36,7.07,11.29,230096800
09-1-2003,11.48,12.87,10.52,11.11,307099200
10-1-2003,11.16,15.56,11.01,15.2,273043900
11-1-2003,15.44,18.5,15.42,17.97,247003800
12-1-2003,18.2,18.39,13.8,14.9,267280600
01-1-2004,15.1,17.5,14.25,14.86,279096000
02-1-2004,15.0,15.85,13.6,15.0,191274800
03-1-2004,14.66,16.4,13.7,16.23,234984300
04-1-2004,16.28,17.6,13.98,14.22,235253900
05-1-2004,14.69,15.55,13.65,15.55,189583500
06-1-2004,15.5,16.35,14.06,15.9,201887900
07-1-2004,15.9,15.9,11.03,12.49,275641400
08-1-2004,12.2,12.44,10.76,11.43,161423500
09-1-2004,11.7,13.23,10.76,13.0,189707100
10-1-2004,13.1,16.85,13.09,16.82,242795000
11-1-2004,16.88,22.49,16.45,21.28,302808300
12-1-2004,21.6,24.95,20.51,22.02,244518300
01-1-2005,22.11,22.3,14.63,15.8,393453500
02-1-2005,15.9,18.45,15.85,17.45,202230300
03-1-2005,17.63,18.02,15.11,16.12,172862500
04-1-2005,16.31,17.5,14.08,14.23,216557300
05-1-2005,14.21,16.62,14.21,16.4,128537300
06-1-2005,16.35,18.34,16.3,17.34,165349200
07-1-2005,17.34,20.84,17.22,20.08,172963700
08-1-2005,20.08,21.3,19.82,20.77,130359000
09-1-2005,20.73,25.75,20.69,25.2,206500600
10-1-2005,25.47,26.07,20.22,23.22,262994400
11-1-2005,22.93,27.36,22.78,26.18,230878600
12-1-2005,26.55,31.84,25.25,30.6,202885200
01-1-2006,31.02,42.01,30.88,41.8,405342700
02-1-2006,41.3,42.42,38.32,38.67,242927000
