Date,Open,High,Low,Close,Volume
08-24-2020,128.7,128.79,123.05,124.81,1063638000
08-31-2020,127.58,137.98,110.89,120.96,1167976600
09-7-2020,113.95,120.5,110.0,112.0,771441800
09-14-2020,114.72,118.83,106.09,106.84,944587000
09-21-2020,104.54,112.86,103.1,112.28,847212600
09-28-2020,115.01,117.72,112.22,113.02,640562200
10-5-2020,113.91,117.0,112.25,116.97,548575100
10-12-2020,120.06,125.39,118.15,119.02,881222300
10-19-2020,119.96,120.42,114.28,115.04,519569600
10-26-2020,114.01,117.28,107.72,108.86,684467100
11-2-2020,109.11,119.62,107.32,118.69,609571800
11-9-2020,120.5,121.99,114.13,119.26,589577900
11-16-2020,118.92,120.99,116.81,117.34,389493400
11-23-2020,117.18,117.62,112.59,116.59,365024000
11-30-2020,116.97,123.78,116.81,122.25,543370600
12-7-2020,122.31,125.95,120.15,122.41,452278700
12-14-2020,122.6,129.58,121.54,126.66,621538100
12-21-2020,125.02,134.41,123.45,131.97,433310200
12-28-2020,133.99,138.79,131.72,132.69,441102200
01-4-2021,133.52,133.61,126.38,132.05,610791200
01-11-2021,129.19,131.45,126.86,127.14,482792700
01-18-2021,127.78,139.85,126.94,139.07,429687100
01-25-2021,143.07,145.09,130.21,131.96,716991000
02-1-2021,133.75,137.42,130.93,136.76,439303000
02-8-2021,136.03,137.88,133.69,135.37,345543100
02-15-2021,135.49,136.01,127.41,129.87,363020300
02-22-2021,128.01,129.72,118.39,121.26,685989200
03-1-2021,123.75,128.72,117.57,121.42,663456700
03-8-2021,120.93,123.21,116.21,121.03,586977300
03-15-2021,121.41,127.22,119.68,119.99,626343500
03-22-2021,120.33,124.24,118.92,121.21,488825800
03-29-2021,121.65,124.18,118.86,123.0,359904000
04-5-2021,123.87,133.04,123.07,133.0,447820500
04-12-2021,132.52,135.0,130.63,134.16,444178800
04-19-2021,133.51,135.53,131.3,134.32,421147600
04-26-2021,134.83,137.07,131.07,131.46,501621500
05-3-2021,132.04,134.07,126.7,130.21,453802300
05-10-2021,129.41,129.54,122.25,127.45,514165600
05-17-2021,126.82,128.0,122.86,125.43,386352000
05-24-2021,126.01,128.32,124.55,124.61,357615000
05-31-2021,125.08,126.16,123.13,125.89,278314500
06-7-2021,126.17,128.46,124.83,127.35,327048100
06-14-2021,127.82,132.55,127.07,130.46,457142800
06-21-2021,130.3,134.64,129.21,133.11,354155800
06-28-2021,133.41,140.0,133.35,139.96,321267200
07-5-2021,140.07,145.65,140.07,145.11,418559700
07-12-2021,146.21,150.0,143.63,146.39,504249300
07-19-2021,143.75,148.72,141.67,148.56,441563700
07-26-2021,148.27,149.83,142.54,145.86,423324000
08-2-2021,146.36,148.04,145.18,146.14,284559400
